Season;Round;CapturedAt;Club;Coach;Role;ClubWeightedVotes;ClubGames;LeagueWeightedVotes;LeagueGames;ClubMV;LeagueMV;RawDelta;Reliability;CurrentFIA
2026-27;3;2026-09-13T12:42:59.356463+00:00;Lecce;Eusebio Di Francesco;D;88.510000;16;2047.530000;346;5.5319;5.9177;-0.38584;0.57143;-0.22048
2026-27;3;2026-09-13T12:42:59.356463+00:00;Lecce;Eusebio Di Francesco;P;18.990000;3;412.000000;68;6.3300;6.0588;0.27118;0.20000;0.05424
2026-27;3;2026-09-13T12:42:59.356463+00:00;Milan;Ruben Amorim;A;24.000000;4;1077.380000;178;6.0000;6.0527;-0.05270;0.25000;-0.01317
2026-27;3;2026-09-13T12:42:59.356463+00:00;Milan;Ruben Amorim;C;203.030000;33;2375.500000;396;6.1524;5.9987;0.15369;0.73333;0.11270
2026-27;3;2026-09-13T12:42:59.356463+00:00;Milan;Ruben Amorim;D;108.990000;18;2047.530000;346;6.0550;5.9177;0.13728;0.60000;0.08237
2026-27;3;2026-09-13T12:42:59.356463+00:00;Milan;Ruben Amorim;P;24.480000;4;412.000000;68;6.1200;6.0588;0.06118;0.25000;0.01529
2026-27;3;2026-09-13T12:42:59.356463+00:00;Monza;Ivan Juric;A;39.000000;6;1077.380000;178;6.5000;6.0527;0.44730;0.33333;0.14910
2026-27;3;2026-09-13T12:42:59.356463+00:00;Monza;Ivan Juric;C;68.990000;12;2375.500000;396;5.7492;5.9987;-0.24957;0.50000;-0.12479
2026-27;3;2026-09-13T12:42:59.356463+00:00;Monza;Ivan Juric;D;98.020000;17;2047.530000;346;5.7659;5.9177;-0.15183;0.58621;-0.08901
2026-27;3;2026-09-13T12:42:59.356463+00:00;Monza;Ivan Juric;P;15.000000;3;412.000000;68;5.0000;6.0588;-1.05882;0.20000;-0.21176
2026-27;3;2026-09-13T12:42:59.356463+00:00;Napoli;Massimiliano Allegri;A;66.000000;11;1077.380000;178;6.0000;6.0527;-0.05270;0.47826;-0.02520
2026-27;3;2026-09-13T12:42:59.356463+00:00;Napoli;Massimiliano Allegri;C;101.490000;17;2375.500000;396;5.9700;5.9987;-0.02874;0.58621;-0.01685
2026-27;3;2026-09-13T12:42:59.356463+00:00;Napoli;Massimiliano Allegri;D;77.990000;14;2047.530000;346;5.5707;5.9177;-0.34700;0.53846;-0.18685
2026-27;3;2026-09-13T12:42:59.356463+00:00;Napoli;Massimiliano Allegri;P;18.990000;3;412.000000;68;6.3300;6.0588;0.27118;0.20000;0.05424
2026-27;3;2026-09-13T12:42:59.356463+00:00;Parma;Carlos Cuesta;A;52.490000;9;1077.380000;178;5.8322;6.0527;-0.22047;0.42857;-0.09449
2026-27;3;2026-09-13T12:42:59.356463+00:00;Parma;Carlos Cuesta;C;73.500000;13;2375.500000;396;5.6538;5.9987;-0.34489;0.52000;-0.17934
2026-27;3;2026-09-13T12:42:59.356463+00:00;Parma;Carlos Cuesta;D;87.500000;15;2047.530000;346;5.8333;5.9177;-0.08438;0.55556;-0.04688
2026-27;3;2026-09-13T12:42:59.356463+00:00;Parma;Carlos Cuesta;P;19.500000;3;412.000000;68;6.5000;6.0588;0.44118;0.20000;0.08824
2026-27;3;2026-09-13T12:42:59.356463+00:00;Roma;Gian Piero Gasperini;A;83.490000;12;1077.380000;178;6.9575;6.0527;0.90480;0.50000;0.45240
2026-27;3;2026-09-13T12:42:59.356463+00:00;Roma;Gian Piero Gasperini;C;70.490000;11;2375.500000;396;6.4082;5.9987;0.40944;0.47826;0.19582
2026-27;3;2026-09-13T12:42:59.356463+00:00;Roma;Gian Piero Gasperini;D;127.010000;20;2047.530000;346;6.3505;5.9177;0.43278;0.62500;0.27049
2026-27;3;2026-09-13T12:42:59.356463+00:00;Roma;Gian Piero Gasperini;P;18.510000;3;412.000000;68;6.1700;6.0588;0.11118;0.20000;0.02224
2026-27;3;2026-09-13T12:42:59.356463+00:00;Sassuolo;Alberto Aquilani;A;50.490000;8;1077.380000;178;6.3113;6.0527;0.25855;0.40000;0.10342
2026-27;3;2026-09-13T12:42:59.356463+00:00;Sassuolo;Alberto Aquilani;C;111.000000;18;2375.500000;396;6.1667;5.9987;0.16793;0.60000;0.10076
2026-27;3;2026-09-13T12:42:59.356463+00:00;Sassuolo;Alberto Aquilani;D;79.520000;13;2047.530000;346;6.1169;5.9177;0.19921;0.52000;0.10359
2026-27;3;2026-09-13T12:42:59.356463+00:00;Sassuolo;Alberto Aquilani;P;18.510000;3;412.000000;68;6.1700;6.0588;0.11118;0.20000;0.02224
2026-27;3;2026-09-13T12:42:59.356463+00:00;Torino;Ignazio Abate;A;43.000000;7;1077.380000;178;6.1429;6.0527;0.09016;0.36842;0.03322
2026-27;3;2026-09-13T12:42:59.356463+00:00;Torino;Ignazio Abate;C;115.520000;20;2375.500000;396;5.7760;5.9987;-0.22274;0.62500;-0.13921
2026-27;3;2026-09-13T12:42:59.356463+00:00;Torino;Ignazio Abate;D;103.040000;17;2047.530000;346;6.0612;5.9177;0.14346;0.58621;0.08410
2026-27;3;2026-09-13T12:42:59.356463+00:00;Torino;Ignazio Abate;P;17.000000;3;412.000000;68;5.6667;6.0588;-0.39216;0.20000;-0.07843
2026-27;3;2026-09-13T12:42:59.356463+00:00;Udinese;Kosta Runjaic;A;34.000000;6;1077.380000;178;5.6667;6.0527;-0.38603;0.33333;-0.12868
2026-27;3;2026-09-13T12:42:59.356463+00:00;Udinese;Kosta Runjaic;C;102.500000;17;2375.500000;396;6.0294;5.9987;0.03067;0.58621;0.01798
2026-27;3;2026-09-13T12:42:59.356463+00:00;Udinese;Kosta Runjaic;D;111.000000;18;2047.530000;346;6.1667;5.9177;0.24895;0.60000;0.14937
2026-27;3;2026-09-13T12:42:59.356463+00:00;Udinese;Kosta Runjaic;P;18.510000;3;412.000000;68;6.1700;6.0588;0.11118;0.20000;0.02224
2026-27;3;2026-09-13T12:42:59.356463+00:00;Venezia;Giovanni Stroppa;A;58.480000;10;1077.380000;178;5.8480;6.0527;-0.20470;0.45455;-0.09304
2026-27;3;2026-09-13T12:42:59.356463+00:00;Venezia;Giovanni Stroppa;C;91.510000;16;2375.500000;396;5.7194;5.9987;-0.27936;0.57143;-0.15964
2026-27;3;2026-09-13T12:42:59.356463+00:00;Venezia;Giovanni Stroppa;D;151.460000;27;2047.530000;346;5.6096;5.9177;-0.30809;0.69231;-0.21329
2026-27;3;2026-09-13T12:42:59.356463+00:00;Venezia;Giovanni Stroppa;P;24.000000;4;412.000000;68;6.0000;6.0588;-0.05882;0.25000;-0.01471
2026-27;4;2026-09-08T12:07:30.884137+00:00;Atalanta;Maurizio Sarri;A;65.510000;11;944.420000;156;5.9555;6.0540;-0.09852;0.47826;-0.04712
2026-27;4;2026-09-08T12:07:30.884137+00:00;Atalanta;Maurizio Sarri;C;105.510000;18;2090.490000;350;5.8617;5.9728;-0.11116;0.60000;-0.06670
2026-27;4;2026-09-08T12:07:30.884137+00:00;Atalanta;Maurizio Sarri;D;82.510000;14;1828.530000;308;5.8936;5.9368;-0.04321;0.53846;-0.02327
2026-27;4;2026-09-08T12:07:30.884137+00:00;Atalanta;Maurizio Sarri;P;20.010000;3;362.510000;60;6.6700;6.0418;0.62817;0.20000;0.12563
2026-27;4;2026-09-08T12:07:30.884137+00:00;Bologna;Domenico Tedesco;A;34.980000;6;944.420000;156;5.8300;6.0540;-0.22397;0.33333;-0.07466
2026-27;4;2026-09-08T12:07:30.884137+00:00;Bologna;Domenico Tedesco;C;111.510000;19;2090.490000;350;5.8689;5.9728;-0.10388;0.61290;-0.06367
2026-27;4;2026-09-08T12:07:30.884137+00:00;Bologna;Domenico Tedesco;D;87.490000;15;1828.530000;308;5.8327;5.9368;-0.10412;0.55556;-0.05784
2026-27;4;2026-09-08T12:07:30.884137+00:00;Bologna;Domenico Tedesco;P;16.500000;3;362.510000;60;5.5000;6.0418;-0.54183;0.20000;-0.10837
2026-27;4;2026-09-08T12:07:30.884137+00:00;Cagliari;Fabio Pisacane;A;48.010000;8;944.420000;156;6.0012;6.0540;-0.05272;0.40000;-0.02109
2026-27;4;2026-09-08T12:07:30.884137+00:00;Cagliari;Fabio Pisacane;C;117.000000;19;2090.490000;350;6.1579;5.9728;0.18507;0.61290;0.11343
2026-27;4;2026-09-08T12:07:30.884137+00:00;Cagliari;Fabio Pisacane;D;73.500000;12;1828.530000;308;6.1250;5.9368;0.18821;0.50000;0.09411
2026-27;4;2026-09-08T12:07:30.884137+00:00;Cagliari;Fabio Pisacane;P;18.990000;3;362.510000;60;6.3300;6.0418;0.28817;0.20000;0.05763
2026-27;4;2026-09-08T12:07:30.884137+00:00;Como;Cesc Fabregas;A;51.500000;8;944.420000;156;6.4375;6.0540;0.38353;0.40000;0.15341
2026-27;4;2026-09-08T12:07:30.884137+00:00;Como;Cesc Fabregas;C;119.000000;19;2090.490000;350;6.2632;5.9728;0.29033;0.61290;0.17794
2026-27;4;2026-09-08T12:07:30.884137+00:00;Como;Cesc Fabregas;D;85.980000;14;1828.530000;308;6.1414;5.9368;0.20464;0.53846;0.11019
2026-27;4;2026-09-08T12:07:30.884137+00:00;Como;Cesc Fabregas;P;18.510000;3;362.510000;60;6.1700;6.0418;0.12817;0.20000;0.02563
2026-27;4;2026-09-08T12:07:30.884137+00:00;Fiorentina;Paolo Vanoli;A;26.990000;5;944.420000;156;5.3980;6.0540;-0.65597;0.29412;-0.19293
2026-27;4;2026-09-08T12:07:30.884137+00:00;Fiorentina;Paolo Vanoli;C;108.500000;20;2090.490000;350;5.4250;5.9728;-0.54783;0.62500;-0.34239
2026-27;4;2026-09-08T12:07:30.884137+00:00;Fiorentina;Paolo Vanoli;D;70.000000;14;1828.530000;308;5.0000;5.9368;-0.93679;0.53846;-0.50000
2026-27;4;2026-09-08T12:07:30.884137+00:00;Fiorentina;Paolo Vanoli;P;15.990000;3;362.510000;60;5.3300;6.0418;-0.71183;0.20000;-0.14237
2026-27;4;2026-09-08T12:07:30.884137+00:00;Frosinone;Massimiliano Alvini;A;47.490000;7;944.420000;156;6.7843;6.0540;0.73031;0.36842;0.26906
2026-27;4;2026-09-08T12:07:30.884137+00:00;Frosinone;Massimiliano Alvini;C;102.970000;17;2090.490000;350;6.0571;5.9728;0.08423;0.58621;0.04938
2026-27;4;2026-09-08T12:07:30.884137+00:00;Frosinone;Massimiliano Alvini;D;100.510000;16;1828.530000;308;6.2819;5.9368;0.34509;0.57143;0.19719
2026-27;4;2026-09-08T12:07:30.884137+00:00;Frosinone;Massimiliano Alvini;P;18.510000;3;362.510000;60;6.1700;6.0418;0.12817;0.20000;0.02563
2026-27;4;2026-09-08T12:07:30.884137+00:00;Genoa;Daniele De Rossi;A;45.510000;8;944.420000;156;5.6887;6.0540;-0.36522;0.40000;-0.14609
2026-27;4;2026-09-08T12:07:30.884137+00:00;Genoa;Daniele De Rossi;C;115.000000;20;2090.490000;350;5.7500;5.9728;-0.22283;0.62500;-0.13927
2026-27;4;2026-09-08T12:07:30.884137+00:00;Genoa;Daniele De Rossi;D;76.010000;14;1828.530000;308;5.4293;5.9368;-0.50750;0.53846;-0.27327
2026-27;4;2026-09-08T12:07:30.884137+00:00;Genoa;Daniele De Rossi;P;15.990000;3;362.510000;60;5.3300;6.0418;-0.71183;0.20000;-0.14237
2026-27;4;2026-09-08T12:07:30.884137+00:00;Inter;Cristian Chivu;A;62.980000;10;944.420000;156;6.2980;6.0540;0.24403;0.45455;0.11092
2026-27;4;2026-09-08T12:07:30.884137+00:00;Inter;Cristian Chivu;C;112.500000;18;2090.490000;350;6.2500;5.9728;0.27717;0.60000;0.16630
2026-27;4;2026-09-08T12:07:30.884137+00:00;Inter;Cristian Chivu;D;99.470000;16;1828.530000;308;6.2169;5.9368;0.28009;0.57143;0.16005
2026-27;4;2026-09-08T12:07:30.884137+00:00;Inter;Cristian Chivu;P;18.510000;3;362.510000;60;6.1700;6.0418;0.12817;0.20000;0.02563
2026-27;4;2026-09-08T12:07:30.884137+00:00;Juventus;Luciano Spalletti;A;49.500000;9;944.420000;156;5.5000;6.0540;-0.55397;0.42857;-0.23742
2026-27;4;2026-09-08T12:07:30.884137+00:00;Juventus;Luciano Spalletti;C;105.980000;17;2090.490000;350;6.2341;5.9728;0.26129;0.58621;0.15317
2026-27;4;2026-09-08T12:07:30.884137+00:00;Juventus;Luciano Spalletti;D;92.490000;15;1828.530000;308;6.1660;5.9368;0.22921;0.55556;0.12734
2026-27;4;2026-09-08T12:07:30.884137+00:00;Juventus;Luciano Spalletti;P;18.990000;3;362.510000;60;6.3300;6.0418;0.28817;0.20000;0.05763
2026-27;4;2026-09-08T12:07:30.884137+00:00;Lazio;Gennaro Gattuso;A;23.000000;4;944.420000;156;5.7500;6.0540;-0.30397;0.25000;-0.07599
2026-27;4;2026-09-08T12:07:30.884137+00:00;Lazio;Gennaro Gattuso;C;136.470000;22;2090.490000;350;6.2032;5.9728;0.23035;0.64706;0.14905
2026-27;4;2026-09-08T12:07:30.884137+00:00;Lazio;Gennaro Gattuso;D;87.000000;14;1828.530000;308;6.2143;5.9368;0.27750;0.53846;0.14942
2026-27;4;2026-09-08T12:07:30.884137+00:00;Lazio;Gennaro Gattuso;P;19.500000;3;362.510000;60;6.5000;6.0418;0.45817;0.20000;0.09163
2026-27;4;2026-09-08T12:07:30.884137+00:00;Lecce;Eusebio Di Francesco;A;55.480000;10;944.420000;156;5.5480;6.0540;-0.50597;0.45455;-0.22999
2026-27;4;2026-09-08T12:07:30.884137+00:00;Lecce;Eusebio Di Francesco;C;96.010000;17;2090.490000;350;5.6476;5.9728;-0.32518;0.58621;-0.19062
2026-27;4;2026-09-08T12:07:30.884137+00:00;Lecce;Eusebio Di Francesco;D;88.510000;16;1828.530000;308;5.5319;5.9368;-0.40491;0.57143;-0.23138
2026-27;4;2026-09-08T12:07:30.884137+00:00;Lecce;Eusebio Di Francesco;P;18.990000;3;362.510000;60;6.3300;6.0418;0.28817;0.20000;0.05763
2026-27;4;2026-09-08T12:07:30.884137+00:00;Milan;Ruben Amorim;A;18.510000;3;944.420000;156;6.1700;6.0540;0.11603;0.20000;0.02321
2026-27;4;2026-09-08T12:07:30.884137+00:00;Milan;Ruben Amorim;C;147.550000;24;2090.490000;350;6.1479;5.9728;0.17509;0.66667;0.11673
2026-27;4;2026-09-08T12:07:30.884137+00:00;Milan;Ruben Amorim;D;88.000000;14;1828.530000;308;6.2857;5.9368;0.34893;0.53846;0.18788
2026-27;4;2026-09-08T12:07:30.884137+00:00;Milan;Ruben Amorim;P;18.000000;3;362.510000;60;6.0000;6.0418;-0.04183;0.20000;-0.00837
2026-27;4;2026-09-08T12:07:30.884137+00:00;Monza;Ivan Juric;A;39.000000;6;944.420000;156;6.5000;6.0540;0.44603;0.33333;0.14868
2026-27;4;2026-09-08T12:07:30.884137+00:00;Monza;Ivan Juric;C;68.990000;12;2090.490000;350;5.7492;5.9728;-0.22366;0.50000;-0.11183
2026-27;4;2026-09-08T12:07:30.884137+00:00;Monza;Ivan Juric;D;98.020000;17;1828.530000;308;5.7659;5.9368;-0.17090;0.58621;-0.10018
2026-27;4;2026-09-08T12:07:30.884137+00:00;Monza;Ivan Juric;P;15.000000;3;362.510000;60;5.0000;6.0418;-1.04183;0.20000;-0.20837
2026-27;4;2026-09-08T12:07:30.884137+00:00;Napoli;Massimiliano Allegri;A;66.000000;11;944.420000;156;6.0000;6.0540;-0.05397;0.47826;-0.02581
2026-27;4;2026-09-08T12:07:30.884137+00:00;Napoli;Massimiliano Allegri;C;101.490000;17;2090.490000;350;5.9700;5.9728;-0.00283;0.58621;-0.00166
2026-27;4;2026-09-08T12:07:30.884137+00:00;Napoli;Massimiliano Allegri;D;77.990000;14;1828.530000;308;5.5707;5.9368;-0.36607;0.53846;-0.19712
2026-27;4;2026-09-08T12:07:30.884137+00:00;Napoli;Massimiliano Allegri;P;18.990000;3;362.510000;60;6.3300;6.0418;0.28817;0.20000;0.05763
2026-27;4;2026-09-08T12:07:30.884137+00:00;Parma;Carlos Cuesta;A;52.490000;9;944.420000;156;5.8322;6.0540;-0.22175;0.42857;-0.09504
2026-27;4;2026-09-08T12:07:30.884137+00:00;Parma;Carlos Cuesta;C;73.500000;13;2090.490000;350;5.6538;5.9728;-0.31898;0.52000;-0.16587
2026-27;4;2026-09-08T12:07:30.884137+00:00;Parma;Carlos Cuesta;D;87.500000;15;1828.530000;308;5.8333;5.9368;-0.10345;0.55556;-0.05747
2026-27;4;2026-09-08T12:07:30.884137+00:00;Parma;Carlos Cuesta;P;19.500000;3;362.510000;60;6.5000;6.0418;0.45817;0.20000;0.09163
2026-27;4;2026-09-08T12:07:30.884137+00:00;Roma;Gian Piero Gasperini;A;83.490000;12;944.420000;156;6.9575;6.0540;0.90353;0.50000;0.45176
2026-27;4;2026-09-08T12:07:30.884137+00:00;Roma;Gian Piero Gasperini;C;70.490000;11;2090.490000;350;6.4082;5.9728;0.43535;0.47826;0.20821
2026-27;4;2026-09-08T12:07:30.884137+00:00;Roma;Gian Piero Gasperini;D;127.010000;20;1828.530000;308;6.3505;5.9368;0.41371;0.62500;0.25857
2026-27;4;2026-09-08T12:07:30.884137+00:00;Roma;Gian Piero Gasperini;P;18.510000;3;362.510000;60;6.1700;6.0418;0.12817;0.20000;0.02563
2026-27;4;2026-09-08T12:07:30.884137+00:00;Sassuolo;Alberto Aquilani;A;50.490000;8;944.420000;156;6.3113;6.0540;0.25728;0.40000;0.10291
2026-27;4;2026-09-08T12:07:30.884137+00:00;Sassuolo;Alberto Aquilani;C;111.000000;18;2090.490000;350;6.1667;5.9728;0.19384;0.60000;0.11630
2026-27;4;2026-09-08T12:07:30.884137+00:00;Sassuolo;Alberto Aquilani;D;79.520000;13;1828.530000;308;6.1169;5.9368;0.18014;0.52000;0.09367
2026-27;4;2026-09-08T12:07:30.884137+00:00;Sassuolo;Alberto Aquilani;P;18.510000;3;362.510000;60;6.1700;6.0418;0.12817;0.20000;0.02563
2026-27;4;2026-09-08T12:07:30.884137+00:00;Torino;Ignazio Abate;A;43.000000;7;944.420000;156;6.1429;6.0540;0.08888;0.36842;0.03275
2026-27;4;2026-09-08T12:07:30.884137+00:00;Torino;Ignazio Abate;C;115.520000;20;2090.490000;350;5.7760;5.9728;-0.19683;0.62500;-0.12302
2026-27;4;2026-09-08T12:07:30.884137+00:00;Torino;Ignazio Abate;D;103.040000;17;1828.530000;308;6.0612;5.9368;0.12439;0.58621;0.07292
2026-27;4;2026-09-08T12:07:30.884137+00:00;Torino;Ignazio Abate;P;17.000000;3;362.510000;60;5.6667;6.0418;-0.37517;0.20000;-0.07503
2026-27;4;2026-09-08T12:07:30.884137+00:00;Udinese;Kosta Runjaic;A;34.000000;6;944.420000;156;5.6667;6.0540;-0.38731;0.33333;-0.12910
2026-27;4;2026-09-08T12:07:30.884137+00:00;Udinese;Kosta Runjaic;C;102.500000;17;2090.490000;350;6.0294;5.9728;0.05658;0.58621;0.03317
2026-27;4;2026-09-08T12:07:30.884137+00:00;Udinese;Kosta Runjaic;D;111.000000;18;1828.530000;308;6.1667;5.9368;0.22988;0.60000;0.13793
2026-27;4;2026-09-08T12:07:30.884137+00:00;Udinese;Kosta Runjaic;P;18.510000;3;362.510000;60;6.1700;6.0418;0.12817;0.20000;0.02563
2026-27;4;2026-09-08T12:07:30.884137+00:00;Venezia;Giovanni Stroppa;A;46.490000;8;944.420000;156;5.8113;6.0540;-0.24272;0.40000;-0.09709
2026-27;4;2026-09-08T12:07:30.884137+00:00;Venezia;Giovanni Stroppa;C;69.000000;12;2090.490000;350;5.7500;5.9728;-0.22283;0.50000;-0.11141
2026-27;4;2026-09-08T12:07:30.884137+00:00;Venezia;Giovanni Stroppa;D;112.980000;20;1828.530000;308;5.6490;5.9368;-0.28779;0.62500;-0.17987
2026-27;4;2026-09-08T12:07:30.884137+00:00;Venezia;Giovanni Stroppa;P;18.000000;3;362.510000;60;6.0000;6.0418;-0.04183;0.20000;-0.00837
