Coach;CoachKey;Role;FIA;Confidence;Stability;SampleVotes;EffectiveVotes;ResidualSD;Clubs;Seasons
Palladino;palladino;P;0.0794;0.7129;0.4472;105;86.9;0.594;Atalanta | Fiorentina | Monza;2023-24 | 2024-25 | 2025-26
Palladino;palladino;D;0.029;0.9312;0.6204;568;474.1;0.501;Atalanta | Fiorentina | Monza;2023-24 | 2024-25 | 2025-26
Palladino;palladino;C;0.0004;0.9293;0.6073;563;459.8;0.53;Atalanta | Fiorentina | Monza;2023-24 | 2024-25 | 2025-26
Palladino;palladino;A;0.0575;0.8693;0.5129;274;232.8;0.695;Atalanta | Fiorentina | Monza;2023-24 | 2024-25 | 2025-26
Paulo Sousa;paulo sousa;P;-0.0165;0.1379;0.0893;8;5.6;0.545;Salernitana;2023-24
Paulo Sousa;paulo sousa;D;-0.1466;0.4565;0.3011;42;29.4;0.516;Salernitana;2023-24
Paulo Sousa;paulo sousa;C;-0.0643;0.4505;0.3028;41;28.7;0.488;Salernitana;2023-24
Paulo Sousa;paulo sousa;A;-0.0606;0.2958;0.1915;21;14.7;0.544;Salernitana;2023-24
Pecchia;pecchia;P;-0.0294;0.375;0.2433;25;21.0;0.541;Parma;2024-25
Pecchia;pecchia;D;-0.0637;0.7178;0.4195;106;89.0;0.711;Parma;2024-25
Pecchia;pecchia;C;-0.0259;0.7601;0.4829;132;110.9;0.574;Parma;2024-25
Pecchia;pecchia;A;-0.0822;0.7323;0.4865;114;95.8;0.505;Parma;2024-25
Pioli;pioli;P;-0.0298;0.5159;0.3401;49;37.3;0.517;Fiorentina | Milan;2023-24 | 2025-26
Pioli;pioli;D;-0.054;0.8424;0.5288;242;187.1;0.593;Fiorentina | Milan;2023-24 | 2025-26
Pioli;pioli;C;-0.102;0.849;0.5365;258;196.8;0.583;Fiorentina | Milan;2023-24 | 2025-26
Pioli;pioli;A;-0.0053;0.7421;0.4345;134;100.7;0.708;Fiorentina | Milan;2023-24 | 2025-26
Pisacane;pisacane;P;0.0236;0.5205;0.3293;38;38.0;0.581;Cagliari;2025-26
Pisacane;pisacane;D;-0.0002;0.856;0.5556;208;208.0;0.541;Cagliari;2025-26
Pisacane;pisacane;C;0.001;0.838;0.563;181;181.0;0.488;Cagliari;2025-26
Pisacane;pisacane;A;0.0192;0.7619;0.4593;112;112.0;0.659;Cagliari;2025-26
Ranieri C.;ranieri c;P;-0.0047;0.584;0.4012;65;49.1;0.456;Cagliari | Roma;2023-24 | 2024-25
Ranieri C.;ranieri c;D;-0.0147;0.8767;0.5718;330;248.8;0.533;Cagliari | Roma;2023-24 | 2024-25
Ranieri C.;ranieri c;C;0.0302;0.8823;0.5711;347;262.4;0.545;Cagliari | Roma;2023-24 | 2024-25
Ranieri C.;ranieri c;A;0.1034;0.7828;0.4747;167;126.1;0.649;Cagliari | Roma;2023-24 | 2024-25
Runjaic;runjaic;P;-0.0549;0.6696;0.4479;77;70.9;0.495;Udinese;2024-25 | 2025-26
Runjaic;runjaic;D;-0.0324;0.9178;0.5812;423;390.7;0.579;Udinese;2024-25 | 2025-26
Runjaic;runjaic;C;-0.0037;0.9089;0.5944;379;349.1;0.529;Udinese;2024-25 | 2025-26
Runjaic;runjaic;A;0.0112;0.827;0.5032;184;167.4;0.644;Udinese;2024-25 | 2025-26
Sammarco;sammarco;P;-0.0001;0.3;0.1813;15;15.0;0.655;Verona;2025-26
Sammarco;sammarco;D;-0.0547;0.72;0.4899;90;90.0;0.47;Verona;2025-26
Sammarco;sammarco;C;-0.1086;0.6569;0.4623;67;67.0;0.421;Verona;2025-26
Sammarco;sammarco;A;-0.098;0.4776;0.2851;32;32.0;0.675;Verona;2025-26
Sarri;sarri;P;0.0552;0.622;0.4279;66;57.6;0.454;Lazio;2023-24 | 2025-26
Sarri;sarri;D;-0.089;0.8909;0.5864;325;285.7;0.519;Lazio;2023-24 | 2025-26
Sarri;sarri;C;-0.0658;0.9014;0.563;370;319.9;0.601;Lazio;2023-24 | 2025-26
Sarri;sarri;A;-0.0901;0.8334;0.5019;200;175.1;0.661;Lazio;2023-24 | 2025-26
Sottil A.;sottil a;P;-0.0435;0.1525;0.1032;9;6.3;0.478;Udinese;2023-24
Sottil A.;sottil a;D;-0.0703;0.537;0.3677;58;40.6;0.461;Udinese;2023-24
Sottil A.;sottil a;C;-0.0588;0.4253;0.2842;37;25.9;0.497;Udinese;2023-24
Sottil A.;sottil a;A;-0.1105;0.3506;0.2395;27;18.9;0.464;Udinese;2023-24
Spalletti;spalletti;P;-0.0325;0.4615;0.3144;30;30.0;0.468;Juventus;2025-26
Spalletti;spalletti;D;0.0499;0.7853;0.513;128;128.0;0.531;Juventus;2025-26
Spalletti;spalletti;C;0.0428;0.8223;0.5317;162;162.0;0.547;Juventus;2025-26
Spalletti;spalletti;A;0.047;0.6957;0.4088;80;80.0;0.702;Juventus;2025-26
Thiago Motta;thiago motta;P;-0.0039;0.5928;0.4232;67;51.0;0.401;Bologna | Juventus;2023-24 | 2024-25
Thiago Motta;thiago motta;D;0.1081;0.8699;0.5659;309;234.1;0.537;Bologna | Juventus;2023-24 | 2024-25
Thiago Motta;thiago motta;C;0.0034;0.9006;0.5716;420;317.2;0.576;Bologna | Juventus;2023-24 | 2024-25
Thiago Motta;thiago motta;A;0.0164;0.7626;0.4543;144;112.4;0.679;Bologna | Juventus;2023-24 | 2024-25
Tudor;tudor;P;0.0077;0.3845;0.2826;26;21.9;0.361;Juventus | Lazio;2023-24 | 2024-25 | 2025-26
Tudor;tudor;D;-0.0149;0.7449;0.4975;122;102.2;0.497;Juventus | Lazio;2023-24 | 2024-25 | 2025-26
Tudor;tudor;C;0.0166;0.7706;0.5057;141;117.5;0.524;Juventus | Lazio;2023-24 | 2024-25 | 2025-26
Tudor;tudor;A;-0.0907;0.6644;0.3958;81;69.3;0.679;Juventus | Lazio;2023-24 | 2024-25 | 2025-26
Vanoli;vanoli;P;0.0515;0.6313;0.3938;66;59.9;0.603;Fiorentina | Torino;2024-25 | 2025-26
Vanoli;vanoli;D;-0.0403;0.9074;0.5834;379;343.0;0.555;Fiorentina | Torino;2024-25 | 2025-26
Vanoli;vanoli;C;-0.0285;0.8953;0.5763;328;299.4;0.554;Fiorentina | Torino;2024-25 | 2025-26
Vanoli;vanoli;A;-0.0319;0.7947;0.4787;151;135.5;0.66;Fiorentina | Torino;2024-25 | 2025-26
Vieira P.;vieira p;P;0.0463;0.4751;0.3271;36;31.7;0.452;Genoa;2024-25 | 2025-26
Vieira P.;vieira p;D;0.0148;0.8197;0.5513;182;159.1;0.487;Genoa;2024-25 | 2025-26
Vieira P.;vieira p;C;-0.0616;0.8275;0.5456;189;167.9;0.517;Genoa;2024-25 | 2025-26
Vieira P.;vieira p;A;-0.0813;0.7024;0.4425;93;82.6;0.587;Genoa;2024-25 | 2025-26
Zanetti;zanetti;P;-0.0815;0.6225;0.4258;65;57.7;0.462;Empoli | Verona;2023-24 | 2024-25 | 2025-26
Zanetti;zanetti;D;-0.196;0.8997;0.5447;352;313.8;0.652;Empoli | Verona;2023-24 | 2024-25 | 2025-26
Zanetti;zanetti;C;-0.1419;0.8853;0.5667;306;270.1;0.562;Empoli | Verona;2023-24 | 2024-25 | 2025-26
Zanetti;zanetti;A;-0.0612;0.8374;0.5323;203;180.3;0.573;Empoli | Verona;2023-24 | 2024-25 | 2025-26
